"","Growth Form","Common Name","Other Common Names","Scientific Name","Ecoregion","Min Height","Max Height","Min Spread","Max Spread","Light","Water","Leaf Retention","Lifespan","Bloom Season","Bloom Color","Seasonal Interest","Soil","Wildlife Benefit","Native Habitat","Maintenence","Comments","References"
"","Tree","American Smoketree","Texas Smoke Tree, Wild Smoke Tree, Smoke Tree, Smokebush, Chittamwood","Cotinus obovatus","Edwards Plateau","15","25","15","25","Sun, Part Shade","Low","Deciduous","Perennial","Spring","Pink, Yellow, Purple","Fall Color, Forage, Nesting Material","Sand, Loam, Clay, Rocky, Limestone, Well Drained","Browsers, Birds","Woodland","Prune for shape or to raise canopy","Outstanding ornamental, decorative trunk & branches, cloud-like spring blooms & standout fall foliage.  Once established, thrives on tough conditions & neglect. Rich soil & too much water may create a weak plant.  It likes rocky north- or east-facing slopes, or plant on protected side of Ashe Juniper (Juniperus ashei). ​Browsed by wildlife and provides nest materials. Only found in the Balcones Canyonlands region of the Edwards Plateau","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 286, 287. 3) https://www.wildflower.org/plants/result.php?id_plant=COOB2. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=849&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt."
"","Tree","Anacacho Orchid Tree","Anacacho Bauhinia, Orchid Tree, Texas Plume","Bauhinia lunarioides","Edwards Plateau","6","12","6","12","Part Shade","Low","Deciduous","Perennial","Spring","White","Seeds, Nectar","Sand, Loam, Limestone, Well Drained","Butterflies, Birds, Hummingbirds, Bees","Woodland","Prune for shape or to raise canopy; remove suckers.","Ornamental blooms. Fast growing, understory tree. Unique foliage and showy flowers make it a beautiful specimen plant, or as a container plant for small areas. Does best if planted on south side of building, protected from winter winds. Habitat notes: relatively rare in the wild, but available in plant nurseries. Exists in very western part of Edwards Plateau.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=BALU. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=10744&locationType=County&mapType=Normal. 4) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 280. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26492#null"
"","Tree","Anacahuita","Mexican Olive, Texas Wild Olive","Cordia boissieri","Southern Texas Plains","12","15","12","15","Sun, Part Shade","Low","Evergreen","Perennial","Spring, Summer, Winter, Fall","White, Yellow","Fruit, Nectar","Sand, Loam, Clay, Well Drained","Butterflies, Birds, Small Mammals","Grassland","Prefers full sun; needs regular watering to get established","Ornamental small tree with a narrow rounded crown & short trunk. Cold-sensitive, but fast-growing. Once established, it is very drought-tolerant. Nectar for insects, fruit for birds & small mammals.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=COBO2. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=5082&locationType=County&mapType=Normal. 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt. 5) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48."
"","Herbaceous,Shrub","Angel Trumpet","Datura, Jimsonweed","Datura wrightii","Chihuahuan Deserts, Edwards Plateau, Texas Blackland Prairies","3","6","3","3","Sun","Medium","Deciduous","Annual","Summer, Fall","White","Nectar, Larval Host","Sand, Loam, Clay, Acid, Calcareous, Well Drained","Moths","Wetland or Riparian","Prune to shape","Large dramatic night-blooming flowers last till mid-day. All parts of this plant  are highly toxic. Trumpet-shaped Flowers. Native Habitat: Often found in floodplains throughout Texas. Larval Host: Carolina Sphinx Moth. Is classified as both an herbaceous and shrub species and annual to perennial depending on the climate.  Plants are usually classified as a shrub if they have woody stems.  This plant is variable.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 184, 185. 3) https://www.wildflower.org/plants/result.php?id_plant=DAWR2. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Datura+wrightii&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=23229&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=30521#null."
"","Herbaceous","Antelope Horn Milkweed","Antelope-horns, Spider Milkweed, Green-flowered Milkweed, Spider Antelope-horns, Antelope Horns","Asclepias asperula","Chihuahuan Deserts, Cross Timbers, Edwards Plateau, Texas Blackland Prairies","1","2","1","2","Sun","Medium","Deciduous","Perennial","Spring, Summer","White, Green","Nectar, Larval Host","Sand, Loam, Clay, Caliche, Well Drained","Butterflies, Bees","Grassland","Will inevitably have aphids, but not a problem unless the plant looks sick. Treat aphids with soapy water not pesticides. ","Narrow leaves. Interesting seed pod. Milky sap can irritate skin and eyes! Nectar for bees, butterflies.  Larval Host: Queen and Monarch butterflies. ","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ASAS. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Asclepias+asperula&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=1377&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=30247#null"
"","Shrub","Apache Plume","Ponil","Fallugia paradoxa","Chihuahuan Deserts, Edwards Plateau","5","10","3","4","Part Shade","Low","Semi Evergreen","Perennial","Spring, Summer, Fall","White","Forage, Nesting Material","Sand, Gravelly, Limestone, Caliche, Well Drained, Dry","Browsers, Nectar Insects","Grassland,Woodland","Easy to grow. It is good for erosion control because of drought-tolerance and profuse seeding. It can become aggressive. Cut woody stems to the ground to rejuvenate. Especially usefull in dry, hot areas.","A shrub with delicate white rose like blossoms. Fruit clusters with feathery, purplish tails said to resemble Apache headdress, at the tips of branches. Dark green leaves are silver beneath. 

","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=FAPA. 3) http://bonap.4et/TDC/Image/Map?taxonType=Species&taxonId=21328&locationType=County&mapType=Normal. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Fallugia+paradoxa&formsubmit=Search+Terms. 5) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 245. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=25167#null"
"","Wetland","Aquatic Milkweed","White Swamp Milkweed","Asclepias perennis","Gulf Coast Prairies and Marshes","1.5","2","0.5","1","Sun, Part Shade","Medium","Deciduous","Perennial","Spring, Summer","White, Pink","Pollen, Larval Host","Sand, Loam, Rich, Moist, Mud","Butterflies, Bees","Wetland or Riparian","Low maintenance.","White and pink flower clusters attract pollinators. Opposite elliptic leaves. Purple stem. Could do well in rain gardens. All parts toxic.  Larval host for Monarch butterflies.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ASPE. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Asclepias+perennis&formsubmit=Search+Terms. 4)http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=1418&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=30293#null"
"","Cactus & Succulent","Arkansas Yucca","Softleaf Yucca","Yucca arkansana","Cross Timbers, Gulf Coast Prairies and Marshes, Southern Texas Plains, Texas Blackland Prairies","1","4","2","5","Sun, Part Shade","Low","Evergreen","Perennial","Spring, Summer, Fall","White, Green","Nectar","Sand, Loam, Clay, Well Drained","Hummingbirds","Grassland","Don’t plant near paths or driveway - sharp tips","Smallest yucca to 3 feet, usually just a rosette of leaves. 8-24 inch evergreen leaves with white margins and curly threads.  Flexible leaves are bluish-green to yellowish-green and have sharp spines on tips. 6-7 foot central column of white bell flowers forms in spring. Fruit is a capsule with thin black seeds.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 213, 264-265. 4) https://www.wildflower.org/plants/result.php?id_plant=YUAR2. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Yucca+arkansana&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=260&locationType=County&mapType=Normal. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43133#null"
"","Shrub","Aromatic Sumac","Fragrant Sumac","Rhus aromatica","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, High Plains, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","6","12","4","6","Sun, Part Shade, Shade","Low","Deciduous","Perennial","Spring, Summer","Yellow","Fruit, Fall Color, Nectar, Larval Host","Loam, Clay, Rocky, Limestone, Caliche, Dry","Butterflies, Birds","Grassland,Woodland","Prune to shape if desired; requires little to no maintenance once established.","Fast growing, generally pest and disease-free, and drought-tolerant. Colonizes to form thickets and looks best when planted en mass or in drift-like plantings as it occurs in nature. Widely distributed across much of Texas. Only female plants produce flowers and berries. Can cause itchy skin after contact. Conspicuous flowers, interesting foliage, fragrant foliage. Berries attract songbirds, high deer resistance. Larval Host: Red-banded Hairstreak butterfly.  Note: Rhus trilobata and Rhus aromatica have been combine into one single species Rhus aromatica with several varieties occurring in smaller regions of Texas (https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28791#null).","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 257. 4) https://www.wildflower.org/plants/result.php?id_plant=RHAR4. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=859&locationType=County&mapType=Normal. 6) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Rhus+aromatica&formsubmit=Search+Terms. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28779#null"
"","Shrub","Arrowwood Viburnum","Southern Arrowwood","Viburnum dentatum","Western Gulf Coastal Plain","6","10","12","12","Sun, Part Shade, Shade","Low, Medium","Deciduous","Perennial","Spring, Summer","White","Fruit, Fall Color, Nectar, Larval Host","Sand, Loam, Clay, Acid, Poor Drainage, Moist","Butterflies, Birds, Small Mammals","Woodland,Wetland or Riparian","If necessary, prune for shape","3 inch white flower clusters in late spring.  Interesting leaves are toothed and grooved. Red fall color without needing frost. Downy straight twigs.  Larval host Spring Azure.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas., 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 306. 3) https://www.wildflower.org/plants/result.php?id_plant=VIDE. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Viburnum+dentatum&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=139&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=35251#null"
"","Tree","Ashe Juniper","Ashe's Juniper, Cedar","Juniperus ashei","Cross Timbers, Edwards Plateau","20","30","15","30","Sun, Part Shade","Very Low","Evergreen","Perennial","Spring","White, Brown","Berry, Larval Host, Nesting Material","Sand, Loam, Clay, Limestone, Caliche, Shallow, Well Drained","Birds, Small Mammals, Deer","Woodland","No maintenance required; can be pruned to a single trunk","Good screen plant. Usually multi-trunked. Berries are highly palatable to many species of birds and small mammals. The bark is used for nesting material by the rare golden-cheeked warbler. Can spread aggressively in disturbed area. Can cause seasonal allergies. Sensitive to fire. Plant a female to avoid pollen and have fruit for birds. Larval Host: Juniper Hairstreak.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 314-315. 4) https://www.wildflower.org/plants/result.php?id_plant=JUAS. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Juniperus+ashei&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=8234&locationType=County&mapType=Normal.. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=194812#null"
"","Shrub","Autumn Sage","Cherry Sage, Gregg Salvia","Salvia greggii","Chihuahuan Deserts, Edwards Plateau, Texas Blackland Prairies","2","3","2","3","Sun","Low","Evergreen","Perennial","Spring, Summer, Winter, Fall","White, Red, Pink","Nectar","Sand, Rocky, Well Drained","Butterflies, Hummingbirds, Bees","Woodland","If leggy, cut back by 1/3 to 1/2","One-inch-long blooms; hummingbirds love them; many varieties available. If you keep snipping off the tips, it will bloom constantly through frost. Replaces Invasives: Nandina, Heavenly Bamboo","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 260. 4) https://www.wildflower.org/plants/result.php?id_plant=SAGR4. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13636&locationType=County&mapType=Normal, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32689#null"
"","Herbaceous","Azure Sage","Pitcher Sage, Big Blue Sage, Giant Blue Sage, Blue Sage","Salvia azurea","Cross Timbers, East Central Texas Plains, Texas Blackland Prairies","3","6","2","3","Sun, Part Shade","Low","Deciduous","Perennial","Fall","White, Blue","Nectar, Pollen","Sand, Loam, Clay, Limestone, Well Drained","Hummingbirds, Bees","Grassland","Cut back in mid summer or stake to keep from sprawling.","Easy to grow from seed. Seedling blooms the first year. Nice with Maximilian sunflower or red sages.  Requires extra water its first year to establish.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 206. 4) https://www.wildflower.org/plants/result.php?id_plant=SAAZ. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13657&locationType=County&mapType=Normal, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32699#null"
"","Herbaceous","Baby Blue Eyes","Texas Baby Blue Eyes, Large-flower Baby-blue-eyes, Flannel Breeches","Nemophila phacelioides","East Central Texas Plains, Texas Blackland Prairies","0.5","1","0.5","1","Part Shade","Medium","Deciduous","Annual","Spring","White, Blue","Nectar","Sand, Loam, Clay, Well Drained, Moist","Butterflies, Nectar Insects, Bees","Woodland","Good plant for spring gardens.","Upright to sprawling. Showy blue to white blooms.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2)  Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 160. 3) https://www.wildflower.org/plants/result.php?id_plant=NEPH. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=5341&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=31430#null"
